district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,此房通透格局东边户做到拎包入住,嘉盛华庭,中楼层,2008,4,2,141.12,143.8,10190
雨花,业主诚心出售 自住装修 9.9成新 万科物业,万科魅力之城,低楼层,,3,2,101.86,139,13647
雨花,浏阳河阳光城凌云府中间楼栋中间楼层大四房诚心出售,阳光城尚东湾凌云府,中楼层,,4,2,145.11,149.6,10310
雨花,建发园林式小区 精装三房 采光好 户型好 拎包入住,建发中央悦府,高楼层,,3,2,120.17,192,15978
雨花,翡翠云天 2室2厅 南,翡翠云天,中楼层,,2,2,88.48,78,8816
雨花,中建信和城 满五唯一 小区必看小户型,中建苹果公寓,低楼层,2018,1,1,35.3,44.5,12607
雨花,楼栋好，楼层好，采光视野家 公摊小 品质楼盘居住舒适,芒果雅苑,中楼层,2014,1,1,37.81,29.8,7882
雨花,不现购 楼层好 自住装修， 采光好，视野开阔，,蓝光幸福满庭,低楼层,2016,3,2,84.68,110,12991
雨花,万科物业，位置安静的精装4房，拎包入住，满五唯一！,万科魅力之城,高楼层,2016,4,2,118.47,169.9,14342
雨花,中建信和城 三房带地暖业主自住精装修 诚心出售,中建信和城,高楼层,2015,3,2,87.7,145,16534
雨花,城轨+地铁 次新小区居家精装三房 满五唯一,叠彩兰亭,中楼层,,3,1,76.69,77,10041
雨花,德馨园居家两房 实际3楼 采光好 可以拎包入住 位置好,德馨园,中楼层,2006,2,2,79.21,56,7070
雨花,德馨园精装修大3室，采光，户型杠杠的，刚需的选择,德馨园,中楼层,2006,3,2,106.17,82.8,7799
雨花,地铁口三房，住家装修，商场配套完善,凯姆国际,高楼层,2011,3,2,119.7,119.8,10009
雨花,树木岭毛坯三居 边户采光视野好 两梯三户 朝南带阳台,龙瑞尚苑,高楼层,2012,3,2,109.79,80,7287
雨花,楼层好 采光好 交通便利 商场公园配套齐全,嘉盛华庭,中楼层,2008,2,2,89.88,85,9458
雨花,锋镜里 全新未入住三房 安静采光好,万科魅力之城,高楼层,,3,2,97.29,136,13979
雨花,次新小区，4号线地铁口，纯毛坯。,长房东旭国际,低楼层,,4,2,138.2,173.8,12576
雨花,明昇壹城 满五唯一 天选好房 你值得拥有,明昇壹城,低楼层,,4,2,142.37,252,17701
